Deployment.Location.ID,month,lepus_detections,ursus_detections,odocoileus_detections,canis_detections,lynx_detections,martes_detections,marmota_detections,rare_detections,effort,Latitude,Longitude,Park,Trail,Height,d.Trail,elevation,water_dist_m,mean_ndvi,recreation_site_month,Year,recreation_rate_site,canopy_cover,start_date,end_date,recreation_park_month,recreation_rate_park_month,year_effort,recreation_rate_park_year,recreation_park_year,dist_to_trail,rec_year_100,rec_month_100,rec_site_100,log_effort
JOFF17,29,0,0,0,0,0,0,0,0,28,50.3646,-122.498,JOFF,On trail,0,NA,1220,1685.420318,0.814566667,5467,2022,195.25,91.49,2022-06-29,2022-07-26,23255,46.14087302,1988,31.71881288,63057,0,3171.881288,4614.087302,19525,3.36729583
GARI17,5,0,0,0,0,0,0,0,0,7,49.9546,-123.107,GARI,On trail,0,4.14,796,2960.411133,0.8944,1343,2020,191.8571429,73.94,2020-08-26,2020-09-22,16215,35.63736264,1525,39.11016393,59643,0,3911.016393,3563.736264,19185.71429,2.079441542
GARI11,5,0,0,0,0,0,0,0,0,10,49.9503,-123.089,GARI,On trail,0.3,3.5,1350,2273.935939,0.8979,1898,2020,189.8,91.49,2020-08-26,2020-09-22,16215,35.63736264,1525,39.11016393,59643,0,3911.016393,3563.736264,18980,2.397895273
JOFF17,30,3,0,0,0,0,0,0,0,28,50.3646,-122.498,JOFF,On trail,0,NA,1220,1685.420318,0.8193,5307,2022,189.5357143,91.49,2022-07-27,2022-08-23,22467,47.70063694,1988,31.71881288,63057,0,3171.881288,4770.063694,18953.57143,3.36729583
GARI18,31,0,1,0,0,0,0,0,0,7,49.9488,-123.101,GARI,On trail,0.63,NA,890,3092.525965,0.8242,1324,2022,189.1428571,87.28,2022-08-24,2022-09-20,9328,122.7368421,2303,36.80937907,84772,0,3680.937907,12273.68421,18914.28571,2.079441542
GARI16,5,0,0,0,0,0,0,0,0,9,49.9568,-123.112,GARI,On trail,0.53,2.73,709,2573.386961,0.8838,1690,2020,187.7777778,89.99,2020-08-26,2020-09-22,16215,35.63736264,1525,39.11016393,59643,0,3911.016393,3563.736264,18777.77778,2.302585093
GARI16,31,0,0,0,0,0,0,0,0,7,49.9568,-123.112,GARI,On trail,0.53,2.73,709,2573.386961,0.8461,1311,2022,187.2857143,89.99,2022-08-24,2022-09-20,9328,122.7368421,2303,36.80937907,84772,0,3680.937907,12273.68421,18728.57143,2.079441542
GARI16,30,0,0,0,0,2,0,0,0,28,49.9568,-123.112,GARI,On trail,0.53,2.73,709,2573.386961,0.90045,5198,2022,185.6428571,89.99,2022-07-27,2022-08-23,34712,68.73663366,2303,36.80937907,84772,0,3680.937907,6873.663366,18564.28571,3.36729583
GARI18,5,0,0,0,0,0,0,0,0,7,49.9488,-123.101,GARI,On trail,0.63,NA,890,3092.525965,0.89945,1291,2020,184.4285714,87.28,2020-08-26,2020-09-22,16215,35.63736264,1525,39.11016393,59643,0,3911.016393,3563.736264,18442.85714,2.079441542
GARI12,31,0,2,0,0,1,0,0,0,7,49.9506,-123.097,GARI,On trail,0.7,5,1070,2840.491452,0.8358,1280,2022,182.8571429,93.54,2022-08-24,2022-09-20,9328,122.7368421,2303,36.80937907,84772,0,3680.937907,12273.68421,18285.71429,2.079441542
GARI17,30,0,1,0,0,1,0,0,0,28,49.9546,-123.107,GARI,On trail,0,4.14,796,2960.411133,0.8885,5086,2022,181.6428571,73.94,2022-07-27,2022-08-23,34712,68.73663366,2303,36.80937907,84772,0,3680.937907,6873.663366,18164.28571,3.36729583
GARI18,30,0,0,0,0,0,0,0,0,28,49.9488,-123.101,GARI,On trail,0.63,NA,890,3092.525965,0.84315,5042,2022,180.0714286,87.28,2022-07-27,2022-08-23,34712,68.73663366,2303,36.80937907,84772,0,3680.937907,6873.663366,18007.14286,3.36729583
GARI16,6,0,0,0,0,0,0,0,0,7,49.9568,-123.112,GARI,On trail,0.53,2.73,709,2573.386961,0.8701,1245,2020,177.8571429,89.99,2020-09-23,2020-10-20,15608,29.4490566,1525,39.11016393,59643,0,3911.016393,2944.90566,17785.71429,2.079441542
GARI16,4,0,0,1,0,0,0,0,0,21,49.9568,-123.112,GARI,On trail,0.53,2.73,709,2573.386961,0.892633333,3665,2020,174.5238095,89.99,2020-07-29,2020-08-25,24807,59.06428571,1525,39.11016393,59643,0,3911.016393,5906.428571,17452.38095,3.091042453
GARI16,29,0,0,4,0,0,0,0,0,28,49.9568,-123.112,GARI,On trail,0.53,2.73,709,2573.386961,0.873166667,4871,2022,173.9642857,89.99,2022-06-29,2022-07-26,29285,49.80442177,2303,36.80937907,84772,0,3680.937907,4980.442177,17396.42857,3.36729583
GARI12,30,0,0,1,0,0,1,0,0,28,49.9506,-123.097,GARI,On trail,0.7,5,1070,2840.491452,0.91845,4859,2022,173.5357143,93.54,2022-07-27,2022-08-23,34712,68.73663366,2303,36.80937907,84772,0,3680.937907,6873.663366,17353.57143,3.36729583
GARI17,4,0,1,0,0,0,0,0,0,21,49.9546,-123.107,GARI,On trail,0,4.14,796,2960.411133,0.8965,3605,2020,171.6666667,73.94,2020-07-29,2020-08-25,24807,59.06428571,1525,39.11016393,59643,0,3911.016393,5906.428571,17166.66667,3.091042453
GARI11,31,1,0,0,0,3,0,0,0,7,49.9503,-123.089,GARI,On trail,0.3,3.5,1350,2273.935939,0.8541,1196,2022,170.8571429,91.49,2022-08-24,2022-09-20,9328,122.7368421,2303,36.80937907,84772,0,3680.937907,12273.68421,17085.71429,2.079441542
GARI18,4,0,0,0,0,0,0,0,0,21,49.9488,-123.101,GARI,On trail,0.63,NA,890,3092.525965,0.884566667,3550,2020,169.047619,87.28,2020-07-29,2020-08-25,24807,59.06428571,1525,39.11016393,59643,0,3911.016393,5906.428571,16904.7619,3.091042453
GARI18,29,0,0,2,0,0,0,0,0,28,49.9488,-123.101,GARI,On trail,0.63,NA,890,3092.525965,0.828766667,4711,2022,168.25,87.28,2022-06-29,2022-07-26,29285,49.80442177,2303,36.80937907,84772,0,3680.937907,4980.442177,16825,3.36729583
GARI11,30,1,1,0,0,3,0,0,0,28,49.9503,-123.089,GARI,On trail,0.3,3.5,1350,2273.935939,0.8563,4680,2022,167.1428571,91.49,2022-07-27,2022-08-23,34712,68.73663366,2303,36.80937907,84772,0,3680.937907,6873.663366,16714.28571,3.36729583
GARI16,17,0,0,0,0,0,0,0,0,28,49.9568,-123.112,GARI,On trail,0.53,2.73,709,2573.386961,0.8628,4618,2021,164.9285714,89.99,2021-07-28,2021-08-24,30258,51.45918367,3599,32.08446791,115472,0,3208.446791,5145.918367,16492.85714,3.36729583
GARI12,29,1,1,1,0,0,0,0,0,28,49.9506,-123.097,GARI,On trail,0.7,5,1070,2840.491452,0.877133333,4566,2022,163.0714286,93.54,2022-06-29,2022-07-26,29285,49.80442177,2303,36.80937907,84772,0,3680.937907,4980.442177,16307.14286,3.36729583
GARI12,4,0,1,0,0,0,0,0,0,21,49.9506,-123.097,GARI,On trail,0.7,5,1070,2840.491452,0.9158,3415,2020,162.6190476,93.54,2020-07-29,2020-08-25,24807,59.06428571,1525,39.11016393,59643,0,3911.016393,5906.428571,16261.90476,3.091042453
GARI17,29,0,0,1,0,0,0,0,0,28,49.9546,-123.107,GARI,On trail,0,4.14,796,2960.411133,0.860566667,4479,2022,159.9642857,73.94,2022-06-29,2022-07-26,29285,49.80442177,2303,36.80937907,84772,0,3680.937907,4980.442177,15996.42857,3.36729583
GARI11,4,3,0,0,0,1,0,0,0,21,49.9503,-123.089,GARI,On trail,0.3,3.5,1350,2273.935939,0.905666667,3353,2020,159.6666667,91.49,2020-07-29,2020-08-25,24807,59.06428571,1525,39.11016393,59643,0,3911.016393,5906.428571,15966.66667,3.091042453
JOFF09,31,0,0,0,0,0,0,0,0,6,50.356,-122.488,JOFF,On trail,0.56,1.24,1408,495.7989636,0.86365,958,2022,159.6666667,73.14,2022-08-24,2022-09-20,5071,123.6829268,1988,31.71881288,63057,0,3171.881288,12368.29268,15966.66667,1.945910149
GARI16,16,0,0,1,0,0,0,0,0,28,49.9568,-123.112,GARI,On trail,0.53,2.73,709,2573.386961,0.868,4465,2021,159.4642857,89.99,2021-06-30,2021-07-27,29492,50.15646259,3599,32.08446791,115472,0,3208.446791,5015.646259,15946.42857,3.36729583
JOFF03,16,7,0,0,0,0,0,0,0,28,50.3688,-122.499,JOFF,On trail,0.74,3.21,1229,2110.26608,0.7537,4428,2021,158.1428571,88.25,2021-06-30,2021-07-27,17240,34.20634921,3132,19.70114943,61704,0,1970.114943,3420.634921,15814.28571,3.36729583
GARI17,17,1,0,0,0,0,0,0,0,28,49.9546,-123.107,GARI,On trail,0,4.14,796,2960.411133,0.881,4385,2021,156.6071429,73.94,2021-07-28,2021-08-24,30258,51.45918367,3599,32.08446791,115472,0,3208.446791,5145.918367,15660.71429,3.36729583
GARI11,29,10,0,0,0,0,0,0,0,28,49.9503,-123.089,GARI,On trail,0.3,3.5,1350,2273.935939,0.868466667,4364,2022,155.8571429,91.49,2022-06-29,2022-07-26,29285,49.80442177,2303,36.80937907,84772,0,3680.937907,4980.442177,15585.71429,3.36729583
GARI18,17,1,0,0,0,0,0,0,0,28,49.9488,-123.101,GARI,On trail,0.63,NA,890,3092.525965,0.811966667,4212,2021,150.4285714,87.28,2021-07-28,2021-08-24,30258,51.45918367,3599,32.08446791,115472,0,3208.446791,5145.918367,15042.85714,3.36729583
JOFF03,18,10,0,0,0,0,0,0,0,28,50.3688,-122.499,JOFF,On trail,0.74,3.21,1229,2110.26608,0.7198,4088,2021,146,88.25,2021-08-25,2021-09-21,13180,26.15079365,3132,19.70114943,61704,0,1970.114943,2615.079365,14600,3.36729583
GARI07,31,1,0,0,0,0,0,0,0,7,49.9597,-123.049,GARI,On trail,0.8,NA,1681,1117.531192,0.81325,1019,2022,145.5714286,38.37,2022-08-24,2022-09-20,9328,122.7368421,2303,36.80937907,84772,0,3680.937907,12273.68421,14557.14286,2.079441542
JOFF09,29,0,0,0,0,0,1,0,0,28,50.356,-122.488,JOFF,On trail,0.56,1.24,1408,495.7989636,0.7825,4063,2022,145.1071429,73.14,2022-06-29,2022-07-26,23255,46.14087302,1988,31.71881288,63057,0,3171.881288,4614.087302,14510.71429,3.36729583
GARI17,16,1,0,1,0,0,0,0,0,28,49.9546,-123.107,GARI,On trail,0,4.14,796,2960.411133,0.876466667,4061,2021,145.0357143,73.94,2021-06-30,2021-07-27,29492,50.15646259,3599,32.08446791,115472,0,3208.446791,5015.646259,14503.57143,3.36729583
GARI18,16,0,0,1,0,0,0,0,0,28,49.9488,-123.101,GARI,On trail,0.63,NA,890,3092.525965,0.841,4049,2021,144.6071429,87.28,2021-06-30,2021-07-27,29492,50.15646259,3599,32.08446791,115472,0,3208.446791,5015.646259,14460.71429,3.36729583
JOFF03,17,8,0,0,0,0,1,0,0,28,50.3688,-122.499,JOFF,On trail,0.74,3.21,1229,2110.26608,0.7241,3998,2021,142.7857143,88.25,2021-07-28,2021-08-24,13335,26.45833333,3132,19.70114943,61704,0,1970.114943,2645.833333,14278.57143,3.36729583
GARI16,18,0,0,0,0,0,0,0,0,28,49.9568,-123.112,GARI,On trail,0.53,2.73,709,2573.386961,0.8872,3959,2021,141.3928571,89.99,2021-08-25,2021-09-21,25452,43.28571429,3599,32.08446791,115472,0,3208.446791,4328.571429,14139.28571,3.36729583
GARI12,17,0,0,1,0,0,0,0,0,28,49.9506,-123.097,GARI,On trail,0.7,5,1070,2840.491452,0.8448,3914,2021,139.7857143,93.54,2021-07-28,2021-08-24,30258,51.45918367,3599,32.08446791,115472,0,3208.446791,5145.918367,13978.57143,3.36729583
GARI12,16,0,1,0,0,0,0,0,0,28,49.9506,-123.097,GARI,On trail,0.7,5,1070,2840.491452,0.878833333,3832,2021,136.8571429,93.54,2021-06-30,2021-07-27,29492,50.15646259,3599,32.08446791,115472,0,3208.446791,5015.646259,13685.71429,3.36729583
GARI05,30,0,0,1,0,1,0,0,0,28,49.9513,-123.072,GARI,On trail,0.86,4,1520,1180.431455,0.86805,3813,2022,136.1785714,31.18,2022-07-27,2022-08-23,34712,68.73663366,2303,36.80937907,84772,0,3680.937907,6873.663366,13617.85714,3.36729583
GARI07,30,0,0,1,0,0,0,0,0,28,49.9597,-123.049,GARI,On trail,0.8,NA,1681,1117.531192,0.78175,3800,2022,135.7142857,38.37,2022-07-27,2022-08-23,34712,68.73663366,2303,36.80937907,84772,0,3680.937907,6873.663366,13571.42857,3.36729583
GARI11,17,0,0,1,0,0,0,0,0,28,49.9503,-123.089,GARI,On trail,0.3,3.5,1350,2273.935939,0.801533333,3800,2021,135.7142857,91.49,2021-07-28,2021-08-24,30258,51.45918367,3599,32.08446791,115472,0,3208.446791,5145.918367,13571.42857,3.36729583
GARI11,16,0,0,2,0,0,0,0,0,28,49.9503,-123.089,GARI,On trail,0.3,3.5,1350,2273.935939,0.891833333,3745,2021,133.75,91.49,2021-06-30,2021-07-27,29492,50.15646259,3599,32.08446791,115472,0,3208.446791,5015.646259,13375,3.36729583
GARI05,31,0,0,0,0,0,0,0,0,7,49.9513,-123.072,GARI,On trail,0.86,4,1520,1180.431455,0.8245,920,2022,131.4285714,31.18,2022-08-24,2022-09-20,9328,122.7368421,2303,36.80937907,84772,0,3680.937907,12273.68421,13142.85714,2.079441542
GARI18,18,1,0,0,0,0,0,0,0,28,49.9488,-123.101,GARI,On trail,0.63,NA,890,3092.525965,0.79875,3600,2021,128.5714286,87.28,2021-08-25,2021-09-21,25452,43.28571429,3599,32.08446791,115472,0,3208.446791,4328.571429,12857.14286,3.36729583
GARI17,18,0,0,0,0,0,0,0,0,28,49.9546,-123.107,GARI,On trail,0,4.14,796,2960.411133,0.9041,3574,2021,127.6428571,73.94,2021-08-25,2021-09-21,25452,43.28571429,3599,32.08446791,115472,0,3208.446791,4328.571429,12764.28571,3.36729583
JOFF15,16,0,0,0,0,0,0,0,0,28,50.3607,-122.492,JOFF,On trail,1.6,0,1318,1084.06439,0.887466667,3505,2021,125.1785714,97.75,2021-06-30,2021-07-27,17240,34.20634921,3132,19.70114943,61704,0,1970.114943,3420.634921,12517.85714,3.36729583
JOFF03,19,7,0,0,0,0,0,0,0,28,50.3688,-122.499,JOFF,On trail,0.74,3.21,1229,2110.26608,0.3107,3447,2021,123.1071429,88.25,2021-09-22,2021-10-19,11148,22.11904762,3132,19.70114943,61704,0,1970.114943,2211.904762,12310.71429,3.36729583
JOFF03,20,5,0,0,1,0,0,0,0,28,50.3688,-122.499,JOFF,On trail,0.74,3.21,1229,2110.26608,0.3107,3447,2021,123.1071429,88.25,2021-09-22,2021-10-19,11148,22.11904762,NA,19.70114943,61704,0,1970.114943,2211.904762,12310.71429,3.36729583
JOFF03,21,0,0,0,1,0,0,0,0,28,50.3688,-122.499,JOFF,On trail,0.74,3.21,1229,2110.26608,0.3107,3447,2021,123.1071429,88.25,2021-09-22,2021-10-19,11148,22.11904762,NA,19.70114943,61704,0,1970.114943,2211.904762,12310.71429,3.36729583
JOFF03,22,0,0,0,0,0,0,0,0,28,50.3688,-122.499,JOFF,On trail,0.74,3.21,1229,2110.26608,0.3107,3447,2021,123.1071429,88.25,2021-09-22,2021-10-19,11148,22.11904762,NA,19.70114943,61704,0,1970.114943,2211.904762,12310.71429,3.36729583
JOFF03,23,0,0,0,0,0,0,0,0,28,50.3688,-122.499,JOFF,On trail,0.74,3.21,1229,2110.26608,0.3107,3447,2021,123.1071429,88.25,2021-09-22,2021-10-19,11148,22.11904762,NA,19.70114943,61704,0,1970.114943,2211.904762,12310.71429,3.36729583
JOFF03,24,0,0,0,0,0,0,0,0,28,50.3688,-122.499,JOFF,On trail,0.74,3.21,1229,2110.26608,0.3107,3447,2021,123.1071429,88.25,2021-09-22,2021-10-19,11148,22.11904762,NA,19.70114943,61704,0,1970.114943,2211.904762,12310.71429,3.36729583
JOFF03,25,0,0,0,0,0,0,0,0,28,50.3688,-122.499,JOFF,On trail,0.74,3.21,1229,2110.26608,0.3107,3447,2021,123.1071429,88.25,2021-09-22,2021-10-19,11148,22.11904762,NA,19.70114943,61704,0,1970.114943,2211.904762,12310.71429,3.36729583
JOFF03,26,0,0,0,0,0,0,0,0,28,50.3688,-122.499,JOFF,On trail,0.74,3.21,1229,2110.26608,0.3107,3447,2021,123.1071429,88.25,2021-09-22,2021-10-19,11148,22.11904762,NA,19.70114943,61704,0,1970.114943,2211.904762,12310.71429,3.36729583
GARI12,18,1,0,0,0,0,0,0,0,28,49.9506,-123.097,GARI,On trail,0.7,5,1070,2840.491452,0.8643,3355,2021,119.8214286,93.54,2021-08-25,2021-09-21,25452,43.28571429,3599,32.08446791,115472,0,3208.446791,4328.571429,11982.14286,3.36729583
JOFF09,30,0,0,0,0,0,0,0,0,28,50.356,-122.488,JOFF,On trail,0.56,1.24,1408,495.7989636,0.7909,3338,2022,119.2142857,73.14,2022-07-27,2022-08-23,22467,47.70063694,1988,31.71881288,63057,0,3171.881288,4770.063694,11921.42857,3.36729583
GARI10,16,3,1,0,0,1,0,0,0,28,49.9457,-123.066,GARI,On trail,1.79,6,1459,567.9515878,0.864133333,3331,2021,118.9642857,68.21,2021-06-30,2021-07-27,29492,50.15646259,3599,32.08446791,115472,0,3208.446791,5015.646259,11896.42857,3.36729583
GARI10,29,9,0,1,0,2,1,1,0,28,49.9457,-123.066,GARI,On trail,1.79,6,1459,567.9515878,0.630033333,3302,2022,117.9285714,68.21,2022-06-29,2022-07-26,29285,49.80442177,2303,36.80937907,84772,0,3680.937907,4980.442177,11792.85714,3.36729583
JOFF03,28,13,0,0,1,0,0,0,0,28,50.3688,-122.499,JOFF,On trail,0.74,3.21,1229,2110.26608,0.6916,3281,2022,117.1785714,88.25,2022-06-01,2022-06-28,9136,18.12698413,1988,31.71881288,63057,0,3171.881288,1812.698413,11717.85714,3.36729583
GARI10,17,1,1,1,0,0,1,0,1,28,49.9457,-123.066,GARI,On trail,1.79,6,1459,567.9515878,0.928333333,3188,2021,113.8571429,68.21,2021-07-28,2021-08-24,30258,51.45918367,3599,32.08446791,115472,0,3208.446791,5145.918367,11385.71429,3.36729583
GARI11,18,1,1,0,0,0,0,0,0,28,49.9503,-123.089,GARI,On trail,0.3,3.5,1350,2273.935939,0.8167,3152,2021,112.5714286,91.49,2021-08-25,2021-09-21,25452,43.28571429,3599,32.08446791,115472,0,3208.446791,4328.571429,11257.14286,3.36729583
GARI10,5,8,0,0,0,0,0,0,0,28,49.9457,-123.066,GARI,On trail,1.79,6,1459,567.9515878,0.9312,3064,2020,109.4285714,68.21,2020-08-26,2020-09-22,16215,35.63736264,1525,39.11016393,59643,0,3911.016393,3563.736264,10942.85714,3.36729583
GARI07,16,0,0,4,0,0,0,0,0,28,49.9597,-123.049,GARI,On trail,0.8,NA,1681,1117.531192,0.7741,3055,2021,109.1071429,38.37,2021-06-30,2021-07-27,29492,50.15646259,3599,32.08446791,115472,0,3208.446791,5015.646259,10910.71429,3.36729583
GARI17,6,0,0,0,0,1,1,0,0,23,49.9546,-123.107,GARI,On trail,0,4.14,796,2960.411133,0.86645,2509,2020,109.0869565,73.94,2020-09-23,2020-10-20,15608,29.4490566,1525,39.11016393,59643,0,3911.016393,2944.90566,10908.69565,3.17805383
GARI17,7,0,0,0,0,0,0,0,0,11,49.9546,-123.107,GARI,On trail,0,4.14,796,2960.411133,0.86645,2509,2020,109.0869565,73.94,2020-09-23,2020-10-20,15608,29.4490566,NA,39.11016393,59643,0,3911.016393,2944.90566,10908.69565,2.48490665
GARI10,4,1,0,0,0,0,0,0,0,21,49.9457,-123.066,GARI,On trail,1.79,6,1459,567.9515878,0.912666667,2267,2020,107.952381,68.21,2020-07-29,2020-08-25,24807,59.06428571,1525,39.11016393,59643,0,3911.016393,5906.428571,10795.2381,3.091042453
JOFF15,18,0,0,0,0,0,0,0,0,28,50.3607,-122.492,JOFF,On trail,1.6,0,1318,1084.06439,0.7882,3001,2021,107.1785714,97.75,2021-08-25,2021-09-21,13180,26.15079365,3132,19.70114943,61704,0,1970.114943,2615.079365,10717.85714,3.36729583
JOFF15,17,0,0,0,0,0,0,0,0,28,50.3607,-122.492,JOFF,On trail,1.6,0,1318,1084.06439,0.873366667,2986,2021,106.6428571,97.75,2021-07-28,2021-08-24,13335,26.45833333,3132,19.70114943,61704,0,1970.114943,2645.833333,10664.28571,3.36729583
GARI12,6,0,1,0,0,0,0,0,0,25,49.9506,-123.097,GARI,On trail,0.7,5,1070,2840.491452,0.8246,2662,2020,106.48,93.54,2020-09-23,2020-10-20,15608,29.4490566,1525,39.11016393,59643,0,3911.016393,2944.90566,10648,3.258096538
GARI12,7,0,0,1,0,0,0,0,0,28,49.9506,-123.097,GARI,On trail,0.7,5,1070,2840.491452,0.8246,2662,2020,106.48,93.54,2020-09-23,2020-10-20,15608,29.4490566,NA,39.11016393,59643,0,3911.016393,2944.90566,10648,3.36729583
GARI12,8,1,0,0,0,0,0,0,0,28,49.9506,-123.097,GARI,On trail,0.7,5,1070,2840.491452,0.8246,2662,2020,106.48,93.54,2020-09-23,2020-10-20,15608,29.4490566,NA,39.11016393,59643,0,3911.016393,2944.90566,10648,3.36729583
GARI18,6,0,0,0,0,1,0,0,0,25,49.9488,-123.101,GARI,On trail,0.63,NA,890,3092.525965,0.91055,2647,2020,105.88,87.28,2020-09-23,2020-10-20,15608,29.4490566,1525,39.11016393,59643,0,3911.016393,2944.90566,10588,3.258096538
GARI18,7,0,0,0,0,0,0,0,0,12,49.9488,-123.101,GARI,On trail,0.63,NA,890,3092.525965,0.91055,2647,2020,105.88,87.28,2020-09-23,2020-10-20,15608,29.4490566,NA,39.11016393,59643,0,3911.016393,2944.90566,10588,2.564949357
GARI07,4,0,0,11,0,0,0,0,0,21,49.9597,-123.049,GARI,On trail,0.8,NA,1681,1117.531192,0.827466667,2203,2020,104.9047619,38.37,2020-07-29,2020-08-25,24807,59.06428571,1525,39.11016393,59643,0,3911.016393,5906.428571,10490.47619,3.091042453
GARI07,5,0,0,4,0,0,0,0,0,28,49.9597,-123.049,GARI,On trail,0.8,NA,1681,1117.531192,0.8253,2886,2020,103.0714286,38.37,2020-08-26,2020-09-22,16215,35.63736264,1525,39.11016393,59643,0,3911.016393,3563.736264,10307.14286,3.36729583
GARI10,30,1,0,0,0,0,0,0,0,14,49.9457,-123.066,GARI,On trail,1.79,6,1459,567.9515878,0.86495,1438,2022,102.7142857,68.21,2022-07-27,2022-08-23,34712,68.73663366,2303,36.80937907,84772,0,3680.937907,6873.663366,10271.42857,2.708050201
GARI07,17,0,0,1,0,0,0,0,0,28,49.9597,-123.049,GARI,On trail,0.8,NA,1681,1117.531192,0.868533333,2872,2021,102.5714286,38.37,2021-07-28,2021-08-24,30258,51.45918367,3599,32.08446791,115472,0,3208.446791,5145.918367,10257.14286,3.36729583
GARI10,18,2,0,1,0,0,0,0,0,28,49.9457,-123.066,GARI,On trail,1.79,6,1459,567.9515878,0.8597,2844,2021,101.5714286,68.21,2021-08-25,2021-09-21,25452,43.28571429,3599,32.08446791,115472,0,3208.446791,4328.571429,10157.14286,3.36729583
GARI11,6,0,2,0,0,0,0,0,0,25,49.9503,-123.089,GARI,On trail,0.3,3.5,1350,2273.935939,0.80045,2535,2020,101.4,91.49,2020-09-23,2020-10-20,15608,29.4490566,1525,39.11016393,59643,0,3911.016393,2944.90566,10140,3.258096538
GARI11,7,0,0,1,0,1,0,0,0,28,49.9503,-123.089,GARI,On trail,0.3,3.5,1350,2273.935939,0.80045,2535,2020,101.4,91.49,2020-09-23,2020-10-20,15608,29.4490566,NA,39.11016393,59643,0,3911.016393,2944.90566,10140,3.36729583
GARI11,8,0,0,0,0,0,0,0,0,28,49.9503,-123.089,GARI,On trail,0.3,3.5,1350,2273.935939,0.80045,2535,2020,101.4,91.49,2020-09-23,2020-10-20,15608,29.4490566,NA,39.11016393,59643,0,3911.016393,2944.90566,10140,3.36729583
GARI11,9,0,0,0,0,0,0,0,0,28,49.9503,-123.089,GARI,On trail,0.3,3.5,1350,2273.935939,0.80045,2535,2020,101.4,91.49,2020-09-23,2020-10-20,15608,29.4490566,NA,39.11016393,59643,0,3911.016393,2944.90566,10140,3.36729583
GARI11,10,0,0,0,0,0,0,0,0,28,49.9503,-123.089,GARI,On trail,0.3,3.5,1350,2273.935939,0.80045,2535,2020,101.4,91.49,2020-09-23,2020-10-20,15608,29.4490566,NA,39.11016393,59643,0,3911.016393,2944.90566,10140,3.36729583
